,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,product_importance,gender,discount_offered,weight_in_gms,reached_ontime
2511,B,Ship,3,1,176,2,medium,F,45,1470,1
2512,C,Ship,3,5,178,3,low,F,39,1498,1
2513,F,Ship,3,2,270,2,medium,F,59,3706,1
2514,D,Ship,4,4,141,2,low,M,7,1479,1
2515,F,Ship,4,3,220,3,medium,M,8,3342,1
2516,A,Ship,5,5,264,3,medium,F,56,3482,1
2517,B,Ship,3,5,150,2,low,F,48,1256,1
2518,C,Ship,3,4,175,3,medium,M,4,1519,1
2519,F,Ship,2,4,223,3,medium,F,19,3356,1
2520,D,Ship,4,4,162,10,high,M,12,1583,1
2521,F,Ship,6,4,221,10,medium,M,42,2972,1
2522,A,Ship,5,1,216,3,low,M,40,2668,1
2523,B,Ship,5,5,133,10,medium,M,9,1724,1
2524,C,Ship,4,2,191,3,high,M,3,2353,1
2525,F,Ship,4,5,156,3,low,M,39,1483,1
2526,D,Ship,4,1,252,3,medium,F,30,2669,1
2527,F,Ship,3,5,198,3,low,M,2,3417,1
2528,A,Ship,2,3,139,8,medium,M,21,1033,1
2529,B,Ship,2,1,255,3,low,M,19,1551,1
2530,C,Ship,4,1,141,2,low,F,23,1689,1
2531,F,Ship,4,1,151,3,high,F,39,1458,1
2532,D,Ship,3,5,236,3,low,F,54,3976,1
2533,F,Ship,3,4,229,3,medium,F,46,3223,1
2534,A,Ship,4,3,261,3,low,F,6,2787,1
2535,B,Ship,2,1,229,4,low,F,11,3614,1
2536,C,Ship,4,4,205,3,low,F,58,2522,1
2537,F,Ship,3,4,240,2,low,F,33,3489,1
2538,D,Ship,4,4,209,6,low,M,62,3532,1
2539,F,Ship,2,5,252,2,low,F,21,2070,1
2540,A,Ship,3,3,140,2,medium,F,30,1547,1
2541,B,Ship,5,3,156,2,low,M,1,1147,1
2542,C,Ship,2,5,190,8,medium,M,11,2976,1
2543,F,Ship,3,3,138,6,medium,M,49,1078,1
2544,D,Ship,5,4,243,3,low,F,43,2866,1
2545,F,Ship,3,5,183,2,low,F,10,2621,1
2546,A,Ship,3,5,190,10,medium,M,32,2931,1
2547,B,Ship,5,2,235,2,low,F,61,3451,1
2548,C,Ship,3,1,143,6,medium,M,2,1323,1
2549,F,Ship,3,3,176,2,medium,M,34,1856,1
2550,D,Ship,3,1,178,3,low,F,11,1481,1
2551,F,Ship,3,5,270,2,medium,F,46,2716,1
2552,A,Ship,4,1,141,2,low,M,10,1340,1
2553,B,Ship,4,5,220,3,medium,F,63,3109,1
2554,C,Ship,5,5,264,3,medium,F,23,2837,1
2555,F,Ship,3,5,150,2,low,M,29,1934,1
2556,D,Ship,3,3,175,3,medium,F,32,1848,1
2557,F,Ship,2,5,223,3,medium,M,35,3437,1
2558,A,Ship,4,3,162,10,high,M,25,1764,1
2559,B,Ship,6,3,221,10,medium,F,13,2219,1
2560,C,Ship,5,5,216,3,low,F,5,3137,1
2561,F,Ship,5,2,133,10,medium,M,53,1674,1
2562,D,Ship,4,3,191,3,high,F,45,3714,1
2563,F,Ship,4,5,156,3,low,F,33,1836,1
2564,A,Ship,4,2,252,3,medium,F,43,3273,1
2565,B,Ship,3,2,198,3,low,M,15,3250,1
2566,C,Ship,2,4,139,8,medium,F,62,1180,1
2567,F,Ship,2,4,255,3,low,F,55,1663,1
2568,D,Ship,4,2,141,2,low,F,8,1495,1
2569,F,Ship,5,2,263,2,medium,F,63,1254,1
2570,A,Ship,3,3,179,3,medium,F,41,1892,1
2571,B,Ship,4,5,212,4,low,M,21,1014,1
2572,C,Ship,2,1,282,5,low,F,51,1362,1
2573,F,Ship,3,5,165,3,medium,M,33,1500,1
2574,D,Ship,4,1,189,2,medium,F,63,3474,1
2575,F,Ship,5,5,157,4,medium,M,60,1407,1
2576,A,Road,3,4,167,3,low,M,14,1420,1
2577,B,Road,3,1,175,2,low,M,42,1668,1
2578,C,Road,3,4,150,2,medium,M,64,1777,1
2579,F,Road,4,2,128,5,low,F,28,1247,1
2580,D,Road,5,2,236,2,low,M,24,3679,1
2581,F,Road,4,3,162,2,medium,F,58,1708,1
2582,A,Road,5,4,230,2,medium,F,48,3743,1
2583,B,Road,5,3,225,4,low,F,60,2130,1
2584,C,Road,2,2,285,2,medium,F,16,2223,1
2585,F,Road,4,5,246,2,medium,M,31,2415,1
2586,D,Road,4,4,196,2,low,F,6,2718,1
2587,F,Road,5,4,211,6,low,M,33,3955,1
2588,A,Road,3,1,197,2,low,M,4,3621,1
2589,B,Road,5,3,203,2,low,F,37,3531,1
2590,C,Road,4,2,161,3,medium,F,10,1928,1
2591,F,Road,5,5,266,4,medium,M,62,2201,1
2592,D,Road,4,1,190,3,low,F,32,2774,1
2593,F,Road,3,2,140,3,low,F,42,1465,1
2594,A,Road,4,1,274,4,medium,M,61,3402,1
2595,B,Road,4,2,168,3,low,M,59,1717,1
2596,C,Road,3,5,189,3,low,F,61,2203,1
2597,F,Road,3,2,231,3,low,F,56,2714,1
2598,D,Flight,5,1,189,3,medium,F,14,3318,1
2599,F,Flight,4,1,220,2,medium,M,38,2368,1
2600,A,Flight,5,4,190,2,medium,F,23,3960,1
2601,B,Flight,4,2,238,3,low,M,30,3423,1
2602,C,Flight,4,4,220,2,medium,F,33,2897,1
2603,F,Flight,4,5,194,2,high,M,44,2651,1
2604,D,Flight,3,3,203,3,medium,M,29,3261,1
2605,F,Flight,3,5,258,3,low,M,21,3446,1
2606,A,Flight,3,5,151,3,low,M,3,1273,1
2607,B,Flight,3,2,218,3,medium,F,52,2149,1
2608,C,Flight,5,1,265,3,medium,M,6,2452,1
2609,F,Flight,4,1,157,3,medium,M,31,1712,1
2610,D,Flight,4,2,214,3,medium,F,20,2009,1
2611,F,Flight,4,4,221,4,medium,M,14,2932,1
2612,A,Flight,3,2,149,2,medium,M,37,1699,1
2613,B,Flight,4,2,273,5,medium,F,6,2126,1
2614,C,Flight,5,1,253,5,low,M,31,3836,1
2615,F,Flight,3,5,102,6,medium,M,3,1341,1
2616,D,Flight,4,1,258,2,low,F,56,3186,1
2617,F,Flight,4,2,273,2,low,F,9,3383,1
2618,A,Flight,4,2,187,2,low,M,54,2191,1
2619,B,Flight,5,1,151,2,medium,F,30,1377,1
2620,C,Ship,2,4,120,2,medium,M,13,1240,1
2621,F,Ship,3,1,254,2,low,M,56,3463,1
2622,D,Ship,5,3,149,3,medium,F,43,1005,1
2623,F,Ship,4,1,152,3,high,M,26,1464,1
2624,A,Ship,5,4,187,3,low,F,53,3172,1
2625,B,Ship,4,4,170,2,low,M,34,1512,1
2626,C,Ship,3,3,156,3,high,F,20,1305,1
2627,F,Ship,4,5,228,2,low,M,63,3401,1
2628,D,Ship,3,1,272,2,low,M,51,2719,1
2629,F,Ship,3,1,140,2,low,F,6,1435,1
2630,A,Ship,3,5,185,2,medium,M,27,3624,1
2631,B,Ship,5,3,167,3,low,F,5,1772,1
2632,C,Ship,4,5,244,3,low,F,49,3914,1
2633,F,Ship,3,4,229,6,medium,F,33,2815,1
2634,D,Ship,4,1,273,3,medium,F,25,3717,1
2635,F,Ship,4,3,204,3,low,M,30,3774,1
2636,A,Ship,4,3,154,3,medium,M,10,1711,1
2637,B,Ship,3,1,254,4,low,F,33,2542,1
2638,C,Ship,3,2,151,3,low,M,40,1173,1
2639,F,Ship,3,5,242,5,medium,F,61,3688,1
2640,D,Ship,4,5,137,2,medium,F,14,1796,1
2641,F,Ship,4,4,163,2,low,F,41,1634,1
2642,A,Ship,3,3,143,3,medium,F,16,1343,1
2643,B,Ship,4,4,196,3,low,F,11,3244,1
2644,C,Ship,4,3,264,2,low,F,38,3877,1
2645,F,Ship,4,1,217,3,medium,M,2,2692,1
2646,D,Ship,3,3,124,3,medium,M,59,1959,1
2647,F,Ship,3,1,269,3,low,M,61,3542,1
2648,A,Ship,3,1,135,4,medium,M,47,1840,1
2649,B,Ship,2,1,192,3,high,M,46,3206,1
2650,C,Ship,4,1,274,4,medium,F,42,2430,1
2651,F,Ship,3,2,162,4,low,M,25,1316,1
2652,D,Ship,3,3,158,3,low,F,20,1431,1
2653,F,Ship,5,3,225,3,medium,M,59,2270,1
2654,A,Ship,2,5,150,3,low,F,16,1738,1
2655,B,Ship,6,3,154,5,medium,F,57,1117,1
2656,C,Ship,3,1,181,3,medium,M,34,3306,1
2657,F,Ship,3,4,272,3,low,M,44,2548,1
2658,D,Ship,3,3,160,4,medium,M,58,1496,1
2659,F,Ship,5,5,145,3,medium,F,37,1993,1
2660,A,Ship,4,4,143,5,high,F,5,1027,1
2661,B,Ship,4,1,201,4,medium,M,59,2925,1
2662,C,Ship,4,3,242,4,low,M,62,3997,1
2663,F,Ship,4,4,151,2,low,F,38,1001,1
2664,D,Ship,4,4,199,2,medium,M,25,3705,1
2665,F,Ship,4,1,178,3,medium,M,9,1006,1
2666,A,Ship,3,2,138,3,low,M,49,1923,1
2667,B,Ship,5,3,162,4,medium,M,38,1407,1
2668,C,Ship,4,3,154,3,low,M,33,1101,1
2669,F,Ship,3,1,206,2,medium,F,56,2069,1
2670,D,Ship,5,2,246,2,low,F,4,3617,1
2671,F,Ship,4,3,233,2,medium,F,47,3606,1
2672,A,Ship,4,1,251,4,medium,F,33,2906,1
2673,B,Ship,3,1,165,3,medium,M,61,1313,1
2674,C,Ship,4,3,183,2,low,F,32,3709,1
2675,F,Ship,3,2,109,3,low,F,30,1597,1
2676,D,Ship,5,3,209,4,medium,F,7,2675,1
2677,F,Ship,5,2,168,3,low,F,50,1486,1
2678,A,Ship,5,3,210,2,low,M,19,3920,1
2679,B,Ship,3,1,185,2,low,F,41,3787,1
2680,C,Ship,5,2,243,2,medium,M,58,2758,1
2681,F,Ship,3,4,258,3,low,F,55,2777,1
2682,D,Ship,4,4,279,5,medium,F,56,2697,1
2683,F,Ship,3,1,160,3,low,M,57,1833,1
2684,A,Ship,3,1,185,4,low,F,35,3648,1
2685,B,Ship,4,3,271,4,low,F,24,3499,1
2686,C,Ship,4,2,273,2,low,F,31,2229,1
2687,F,Ship,3,4,208,3,medium,F,23,2100,1
2688,D,Ship,2,2,137,3,low,F,20,1823,1
2689,F,Ship,4,1,198,3,medium,F,56,3135,1
2690,A,Ship,5,1,236,4,high,F,64,3231,1
2691,B,Ship,5,5,133,2,low,F,18,1134,1
2692,C,Ship,4,2,191,3,medium,F,12,3676,1
2693,F,Ship,3,1,202,3,low,F,51,3551,1
2694,D,Ship,5,1,162,5,low,F,47,1727,1
2695,F,Ship,5,1,224,2,low,F,14,2959,1
2696,A,Ship,4,2,191,2,high,M,65,3082,1
2697,B,Ship,3,5,272,2,medium,M,31,2438,1
2698,C,Ship,4,3,269,3,low,F,7,2538,1
2699,F,Ship,4,2,179,3,high,F,30,1076,1
2700,D,Ship,3,5,225,2,low,F,56,2596,1
2701,F,Ship,3,2,132,2,medium,M,6,1185,1
2702,A,Ship,5,3,244,3,low,F,52,3118,1
2703,B,Ship,3,4,185,2,low,F,62,2849,1
2704,C,Ship,3,3,257,3,low,M,64,3103,1
2705,F,Ship,3,3,253,5,low,F,63,3788,1
2706,D,Ship,4,3,174,3,low,F,5,1502,1
2707,F,Ship,2,1,200,3,medium,M,34,2199,1
2708,A,Ship,3,1,150,3,medium,F,8,1745,1
2709,B,Ship,3,2,137,3,medium,F,9,1347,1
2710,C,Ship,3,1,181,3,medium,M,29,2981,1
2711,F,Ship,5,2,246,2,medium,M,13,2652,1
2712,D,Ship,3,3,237,5,low,M,48,2057,1
2713,F,Road,3,5,226,3,medium,M,55,2465,1
2714,A,Road,4,4,225,3,low,M,51,2892,1
2715,B,Road,3,2,268,2,low,M,20,2731,1
2716,C,Road,4,3,146,3,low,M,41,1140,1
2717,F,Road,4,5,159,3,low,M,2,1048,1
2718,D,Road,3,1,135,3,low,F,38,1829,1
2719,F,Road,3,2,134,2,medium,F,45,1946,1
2720,A,Road,4,3,210,3,low,M,3,2742,1
2721,B,Road,4,4,238,3,low,F,13,2042,1
2722,C,Road,4,3,214,4,low,M,34,3446,1
2723,F,Road,4,2,204,4,low,F,35,2725,1
2724,D,Road,4,1,227,3,low,M,5,3100,1
2725,F,Road,4,3,253,3,high,F,18,2849,1
2726,A,Road,2,3,126,4,high,F,3,1364,1
2727,B,Road,4,4,208,2,high,F,20,2759,1
2728,C,Road,4,4,179,3,low,M,48,1943,1
2729,F,Road,3,1,132,2,medium,M,62,1909,1
2730,D,Road,3,4,144,3,low,M,56,1496,1
2731,F,Road,3,3,236,2,medium,F,58,3360,1
2732,A,Road,4,4,235,3,low,F,17,3715,1
2733,B,Road,4,5,254,3,low,M,29,3885,1
2734,C,Road,3,2,144,5,medium,M,43,1027,1
2735,F,Flight,5,1,272,3,medium,M,27,2415,1
2736,D,Flight,3,3,191,4,medium,F,17,3675,1
2737,F,Flight,5,3,177,4,medium,M,60,1159,1
2738,A,Flight,5,4,226,3,low,F,46,3149,1
2739,B,Flight,3,4,132,2,medium,M,12,1493,1
2740,C,Flight,3,1,121,5,low,F,60,1577,1
2741,F,Flight,4,2,171,3,low,F,40,1021,1
2742,D,Flight,3,3,178,3,high,M,12,1900,1
2743,F,Flight,4,3,132,4,medium,M,10,1767,1
2744,A,Flight,6,4,249,5,medium,M,43,3078,1
2745,B,Flight,2,4,159,3,medium,M,47,1547,1
2746,C,Flight,5,2,171,3,high,M,34,1029,1
2747,F,Flight,3,3,150,3,low,M,6,1775,1
2748,D,Flight,4,4,178,3,low,F,1,1165,1
2749,F,Flight,3,3,192,7,high,F,25,2152,1
2750,A,Flight,3,5,214,8,high,M,50,3628,1
2751,B,Flight,5,3,225,7,medium,F,45,3162,1
2752,C,Flight,5,4,167,7,medium,F,23,1691,1
2753,F,Flight,3,5,245,4,medium,M,4,2769,1
2754,D,Flight,4,5,138,7,medium,M,60,1366,1
2755,F,Flight,4,4,173,3,medium,F,64,1847,1
2756,A,Flight,3,5,98,3,medium,F,48,1635,1
2757,B,Ship,3,1,231,2,low,M,44,3688,1
2758,C,Ship,5,5,149,7,medium,F,50,1346,1
2759,F,Ship,3,1,206,3,medium,M,28,2892,1
2760,D,Ship,5,3,264,10,medium,F,34,3441,1
2761,F,Ship,3,1,193,2,medium,F,23,2728,1
2762,A,Ship,5,1,263,2,medium,F,4,1092,1
2763,B,Ship,3,2,191,4,medium,F,16,2277,1
2764,C,Ship,5,4,177,4,medium,M,48,1920,1
2765,F,Ship,5,5,226,3,low,M,50,2348,1
2766,D,Ship,3,1,132,2,medium,F,16,1731,1
2767,F,Ship,3,1,121,5,low,M,62,1505,1
2768,A,Ship,4,2,171,3,low,M,34,1352,1
2769,B,Ship,3,3,178,3,high,M,43,1517,1
2770,C,Ship,4,4,132,4,medium,F,44,1692,1
2771,F,Ship,6,5,249,5,medium,M,26,3897,1
2772,D,Ship,2,3,159,3,medium,F,39,1477,1
2773,F,Ship,5,5,171,3,high,M,14,1554,1
2774,A,Ship,3,1,150,3,low,F,43,1831,1
2775,B,Ship,4,1,178,3,low,M,19,1906,1
2776,C,Ship,3,3,192,7,high,F,36,3634,1
2777,F,Ship,3,4,214,8,high,F,6,2924,1
2778,D,Ship,5,3,225,7,medium,F,17,3516,1
2779,F,Ship,5,4,167,7,medium,F,43,1619,1
2780,A,Ship,3,2,245,4,medium,M,60,2178,1
2781,B,Ship,4,4,138,7,medium,M,65,1530,1
2782,C,Ship,4,4,173,3,medium,F,61,1609,1
2783,F,Ship,3,2,98,3,medium,F,60,1057,1
2784,D,Ship,3,1,231,2,low,M,24,3811,1
2785,F,Ship,5,3,149,7,medium,F,51,1425,1
2786,A,Ship,3,5,206,3,medium,M,21,3746,1
2787,B,Ship,5,4,264,10,medium,F,34,2960,1
2788,C,Ship,3,5,193,2,medium,F,12,3730,1
2789,F,Ship,5,2,263,2,medium,F,51,1657,1
2790,D,Ship,2,5,282,5,low,M,63,1173,1
2791,F,Ship,5,4,193,3,low,M,55,2758,1
2792,A,Ship,4,4,171,3,medium,F,11,1594,1
2793,B,Ship,3,5,212,3,low,F,19,2703,1
2794,C,Ship,2,1,159,2,low,F,44,1213,1
2795,F,Ship,3,2,102,4,medium,M,57,1220,1
2796,D,Ship,3,2,145,2,medium,F,29,1690,1
2797,F,Ship,3,1,225,2,high,F,43,2585,1
2798,A,Ship,2,1,174,3,medium,F,12,1358,1
2799,B,Ship,4,3,223,4,low,F,25,3148,1
2800,C,Ship,3,5,185,2,low,F,36,3501,1
2801,F,Ship,4,5,245,3,medium,M,6,2717,1
2802,D,Ship,3,3,99,3,high,M,63,1223,1
2803,F,Ship,3,3,141,4,low,F,35,1417,1
2804,A,Ship,4,2,222,2,medium,F,16,2518,1
2805,B,Ship,3,2,192,3,medium,F,64,3233,1
2806,C,Ship,3,1,187,4,medium,M,42,3621,1
2807,F,Ship,4,2,216,2,low,F,26,2431,1
2808,D,Ship,3,2,146,4,low,M,13,1790,1
2809,F,Ship,3,2,207,2,low,M,20,3419,1
2810,A,Ship,4,2,225,2,low,F,6,2010,1
2811,B,Ship,3,4,230,2,medium,F,15,2302,1
2812,C,Ship,3,2,173,3,medium,F,37,1990,1
2813,F,Ship,4,4,127,4,high,M,54,1239,1
2814,D,Ship,3,3,214,2,low,M,28,3869,1
2815,F,Ship,4,1,161,3,low,M,59,1454,1
2816,A,Ship,4,2,262,2,low,F,37,3523,1
2817,B,Ship,5,2,157,3,low,M,1,1798,1
2818,C,Ship,3,1,164,3,medium,F,9,1803,1
2819,F,Ship,4,4,174,2,low,F,11,1577,1
2820,D,Ship,2,2,188,4,medium,M,39,2424,1
2821,F,Ship,3,1,141,2,low,F,4,1297,1
2822,A,Ship,5,5,134,2,medium,M,64,1785,1
2823,B,Ship,2,4,147,2,medium,F,65,1738,1
2824,C,Ship,4,1,180,3,medium,M,27,1551,1
2825,F,Ship,3,3,225,2,medium,M,55,2259,1
2826,D,Ship,2,3,172,3,medium,F,11,1522,1
2827,F,Ship,6,2,131,5,medium,F,5,1718,1
2828,A,Ship,3,1,270,4,low,M,47,3487,1
2829,B,Ship,3,4,172,3,low,M,56,1103,1
2830,C,Ship,4,5,198,3,medium,M,33,2129,1
2831,F,Ship,4,2,167,3,low,M,21,1637,1
2832,D,Ship,2,2,168,5,medium,F,1,1885,1
2833,F,Ship,4,1,165,4,medium,F,34,1831,1
2834,A,Ship,4,5,149,6,medium,M,40,1974,1
2835,B,Ship,3,3,186,3,low,M,24,3262,1
2836,C,Ship,4,1,151,2,low,F,47,1682,1
2837,F,Ship,3,5,146,3,medium,F,30,1569,1
2838,D,Ship,4,5,232,2,low,M,54,2526,1
2839,F,Ship,4,1,177,2,low,F,22,1698,1
2840,A,Ship,4,4,149,2,medium,F,19,1665,1
2841,B,Ship,4,2,180,3,low,M,3,1518,1
2842,C,Ship,5,5,172,2,medium,F,40,1446,1
2843,F,Ship,5,2,160,3,medium,M,44,1054,1
2844,D,Ship,3,2,206,2,medium,F,28,2822,1
2845,F,Ship,4,5,146,3,low,F,9,1685,1
2846,A,Ship,2,1,257,2,low,F,24,2130,1
2847,B,Ship,5,5,219,3,medium,M,27,3430,1
2848,C,Ship,4,2,274,2,medium,M,55,3416,1
2849,F,Ship,2,2,177,5,low,M,36,1249,1
2850,D,Road,4,3,209,2,medium,M,57,3741,1
2851,F,Road,4,1,207,2,low,M,2,3242,1
2852,A,Road,4,4,153,3,low,F,27,1613,1
2853,B,Road,4,4,158,3,low,F,61,1507,1
2854,C,Road,3,4,261,2,medium,F,52,3340,1
2855,F,Road,4,1,182,6,low,M,41,2047,1
2856,D,Road,2,3,128,2,medium,F,53,1530,1
2857,F,Road,2,1,178,3,low,M,6,1184,1
2858,A,Road,2,4,198,3,low,M,37,2555,1
2859,B,Road,4,3,137,3,medium,M,46,1299,1
2860,C,Road,4,1,168,2,low,F,41,1515,1
2861,F,Road,3,3,248,4,low,F,36,3276,1
2862,D,Road,5,2,225,3,medium,F,29,2411,1
2863,F,Road,5,4,239,2,low,M,35,2107,1
2864,A,Road,5,4,256,3,low,F,43,3658,1
2865,B,Road,5,1,109,2,high,M,23,1479,1
2866,C,Road,3,3,274,2,medium,F,59,3436,1
2867,F,Road,5,4,157,4,low,F,65,1951,1
2868,D,Road,3,2,125,3,medium,F,12,1212,1
2869,F,Road,4,5,203,2,low,F,20,2421,1
2870,A,Road,3,3,120,3,low,F,55,1534,1
2871,B,Road,3,5,194,4,medium,F,21,2695,1
2872,C,Flight,4,2,257,4,high,M,58,2269,1
2873,F,Flight,4,4,233,2,medium,M,39,2291,1
2874,D,Flight,5,2,193,2,low,F,1,2775,1
2875,F,Flight,5,3,202,6,low,F,34,2936,1
2876,A,Flight,4,5,270,3,low,M,30,2720,1
2877,B,Flight,5,5,240,3,medium,F,12,2723,1
2878,C,Flight,3,2,224,3,medium,M,63,2085,1
2879,F,Flight,4,1,195,2,medium,M,19,2878,1
2880,D,Flight,3,2,165,3,medium,M,47,1639,1
2881,F,Flight,4,1,164,2,medium,F,3,1124,1
2882,A,Flight,3,1,105,3,low,M,58,1304,1
2883,B,Flight,3,1,248,3,low,M,9,2616,1
2884,C,Flight,4,3,269,6,medium,M,62,3950,1
2885,F,Flight,4,1,253,3,low,M,36,2591,1
2886,D,Flight,3,1,231,4,medium,F,60,3755,1
2887,F,Flight,3,1,164,2,low,F,39,1532,1
2888,A,Flight,3,3,176,3,medium,M,14,1705,1
2889,B,Flight,4,3,149,3,medium,M,17,1990,1
2890,C,Flight,4,5,187,5,medium,M,16,3781,1
2891,F,Flight,3,2,150,2,low,M,53,1319,1
2892,D,Flight,3,2,190,3,medium,M,18,2715,1
2893,F,Flight,4,1,226,3,low,M,42,3077,1
2894,A,Ship,3,4,98,2,low,F,32,1539,1
2895,B,Ship,3,5,152,2,medium,F,6,1800,1
2896,C,Ship,2,2,173,2,medium,M,34,1575,1
2897,F,Ship,4,1,160,2,high,F,65,1861,1
2898,D,Ship,4,2,180,3,low,M,22,1261,1
2899,F,Ship,3,2,175,2,medium,F,12,1817,1
2900,A,Ship,3,3,274,3,low,M,6,2986,1
2901,B,Ship,4,1,216,4,low,M,4,2263,1
2902,C,Ship,6,2,283,2,low,F,18,3077,1
2903,F,Ship,6,4,192,3,high,F,19,2944,1
2904,D,Ship,3,4,236,4,medium,F,43,2584,1
2905,F,Ship,4,2,232,3,high,M,46,2835,1
2906,A,Ship,2,3,204,4,low,F,20,3135,1
2907,B,Ship,3,2,138,2,medium,F,46,1436,1
2908,C,Ship,3,4,154,2,low,M,29,1016,1
2909,F,Ship,4,3,244,2,low,M,17,3125,1
2910,D,Ship,3,2,144,3,medium,F,48,1867,1
2911,F,Ship,3,4,274,3,medium,M,19,3076,1
2912,A,Ship,3,2,182,3,low,F,54,3972,1
2913,B,Ship,6,1,250,5,low,F,53,3352,1
2914,C,Ship,4,4,207,2,medium,F,14,2945,1
2915,F,Ship,3,4,242,3,high,M,54,3011,1
2916,D,Ship,5,1,154,2,low,M,37,1671,1
2917,F,Ship,4,4,176,3,medium,M,53,1472,1
2918,A,Ship,3,5,252,3,low,M,18,3701,1
2919,B,Ship,4,1,147,3,medium,M,32,1666,1
2920,C,Ship,5,3,157,4,low,M,1,1306,1
2921,F,Ship,3,1,257,2,medium,M,37,3517,1
2922,D,Ship,4,3,172,3,medium,F,6,1261,1
2923,F,Ship,4,3,134,3,high,F,22,1629,1
2924,A,Ship,2,2,152,4,low,F,48,1212,1
2925,B,Ship,3,1,161,3,low,F,57,1918,1
2926,C,Ship,3,1,269,3,low,M,47,3033,1
2927,F,Ship,2,3,164,2,medium,M,64,1689,1
2928,D,Ship,5,3,114,6,medium,F,60,1746,1
2929,F,Ship,6,5,213,6,low,M,7,2709,1
2930,A,Ship,4,4,255,3,medium,F,60,2777,1
2931,B,Ship,3,3,135,3,medium,F,28,1329,1
2932,C,Ship,3,2,155,3,medium,F,7,1434,1
2933,F,Ship,6,3,273,4,medium,F,32,2532,1
2934,D,Ship,4,3,135,3,low,F,15,1008,1
2935,F,Ship,4,4,170,3,low,M,29,1188,1
2936,A,Ship,6,4,138,5,medium,F,15,1181,1
2937,B,Ship,3,2,213,4,low,M,53,3502,1
2938,C,Ship,4,5,156,5,high,F,55,1619,1
2939,F,Ship,3,1,139,2,low,M,47,1241,1
2940,D,Ship,3,1,263,3,medium,M,6,2715,1
2941,F,Ship,2,3,160,4,low,F,53,1850,1
2942,A,Ship,3,3,148,2,low,M,39,1402,1
2943,B,Ship,4,3,259,3,high,M,45,3761,1
2944,C,Ship,5,4,273,3,low,F,60,3384,1
2945,F,Ship,3,2,212,3,medium,F,9,2521,1
2946,D,Ship,3,5,144,6,low,F,46,1110,1
2947,F,Ship,2,2,193,3,medium,M,64,2867,1
2948,A,Ship,5,2,198,3,low,F,44,3706,1
2949,B,Ship,3,5,207,4,low,F,45,3770,1
2950,C,Ship,6,1,236,4,low,F,10,2030,1
2951,F,Ship,4,2,165,3,low,M,7,1702,1
2952,D,Ship,3,3,162,3,low,M,3,1693,1
2953,F,Ship,4,2,184,3,low,F,63,3609,1
2954,A,Ship,5,5,145,2,medium,M,48,1834,1
2955,B,Ship,3,3,228,2,medium,M,27,3473,1
2956,C,Ship,5,5,213,2,high,M,12,2522,1
2957,F,Ship,2,2,146,3,medium,F,1,1162,1
2958,D,Ship,4,2,220,3,high,F,39,2459,1
2959,F,Ship,3,4,231,3,medium,F,49,3441,1
2960,A,Ship,3,4,212,8,low,F,56,3337,1
2961,B,Ship,4,3,202,3,low,F,48,2213,1
2962,C,Ship,5,5,208,8,low,M,39,2905,1
2963,F,Ship,3,3,200,3,low,M,46,2460,1
2964,D,Ship,3,2,250,3,low,F,37,2736,1
2965,F,Ship,3,5,126,2,low,F,29,1192,1
2966,A,Ship,4,1,222,4,medium,F,42,2762,1
2967,B,Ship,6,2,236,4,low,F,61,3140,1
2968,C,Ship,4,3,165,3,low,M,4,1484,1
2969,F,Ship,3,4,162,3,low,M,17,1700,1
2970,D,Ship,4,3,184,3,low,F,37,3436,1
2971,F,Ship,5,3,145,2,medium,M,6,1965,1
2972,A,Ship,3,4,228,2,medium,M,46,3306,1
2973,B,Ship,5,3,213,2,high,F,27,2581,1
2974,C,Ship,2,3,146,3,medium,M,18,1289,1
2975,F,Ship,4,1,220,3,high,M,2,3886,1
2976,D,Ship,3,4,231,3,medium,M,39,3792,1
2977,F,Ship,3,4,212,8,low,F,34,2750,1
2978,A,Ship,4,5,202,3,low,F,38,2651,1
2979,B,Ship,5,2,208,8,low,M,62,3450,1
2980,C,Ship,3,3,200,3,low,M,4,3791,1
2981,F,Ship,3,1,250,3,low,F,8,3617,1
2982,D,Ship,3,5,126,2,low,F,63,1141,1
2983,F,Ship,4,3,222,4,medium,M,49,3697,1
2984,A,Ship,3,3,273,6,low,M,6,1771,1
2985,B,Ship,6,5,161,4,medium,F,20,1338,1
2986,C,Ship,5,1,236,3,medium,F,10,1347,1
2987,F,Road,6,3,281,5,medium,F,8,1864,1
2988,D,Road,5,3,168,4,low,M,7,1298,1
2989,F,Road,5,1,206,4,low,M,62,1137,1
2990,A,Road,4,1,144,4,high,M,5,1294,1
2991,B,Road,5,3,239,5,medium,F,19,2988,1
2992,C,Road,3,5,129,3,medium,F,52,1513,1
2993,F,Road,4,5,201,4,medium,M,46,3498,1
2994,D,Road,5,5,160,3,medium,M,55,1911,1
2995,F,Road,6,5,130,6,low,F,60,1971,1
2996,A,Road,3,1,132,4,medium,M,58,1067,1
2997,B,Road,4,2,185,4,medium,F,36,2583,1
2998,C,Road,5,1,271,4,low,F,4,2718,1
2999,F,Road,5,2,168,2,medium,M,20,1539,1
3000,D,Road,5,5,154,3,medium,F,50,1389,1
3001,F,Road,3,3,203,3,low,M,4,3114,1
3002,A,Road,3,1,274,3,low,M,4,2087,1
